Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Accounting,Actuarial Science,Advertising,Agriculture,Animal Bioscience,Anthropology,Applied Mathematics,Archaeology,Architectural Engineering,Studio Art and Theater,Biobehavioral Health,Biochemistry,Chemical Engineering,Civil Engineering,Computer Engineering & Computer Science,"Crime, Law, and Justice",Electrical Engineering,History,Kinesiology,Social Work,Theater,Women's Studies,Psychology,Music,Nursing and Pre-med
10842786535,240382712,7/8/2019 16:22,7/8/2019 16:25,21.204.161.15,,,,,5,2,3,2,5,3,2,3,3,2,2,2,1,5,2,3,2,1,5,5,4,5,5,3,4
10842771375,240382712,7/7/2019 17:05,7/7/2019 14:10,212.126.122.188,,,,,2,3,2,2,2,5,5,5,4,5,4,3,4,4,5,5,1,3,1,2,2,2,3,4,5
10842756214,240382712,7/7/2019 17:52,7/7/2019 17:56,33.204.161.152,,,,,1,1,5,4,5,1,4,2,5,4,5,4,4,4,5,5,1,5,2,5,4,4,2,2,2
10842741053,240382712,7/7/2019 18:12,7/7/2019 18:16,134.230.129.83,,,,,2,1,3,3,3,3,3,3,3,3,3,3,3,4,5,4,2,5,3,5,5,2,4,1,3
10842725892,240382712,7/7/2019 19:02,7/7/2019 19:02,111.237.168.161,,,,,2,5,5,5,4,2,1,5,2,3,2,5,4,5,4,5,3,2,5,1,5,2,1,5,2
10842710731,240382712,7/7/2019 20:52,7/7/2019 20:57,11.77.173.111,,,,,3,2,4,5,3,2,1,2,3,2,5,3,2,1,5,4,2,2,2,1,2,4,1,3,2
10842695570,240382712,7/7/2019 21:05,7/7/2019 21:09,81.204.161.153,,,,,5,5,5,5,5,5,4,5,4,3,4,3,4,5,4,5,3,4,5,2,4,5,1,2,2
10842680409,240382712,7/7/2019 21:52,7/7/2019 21:55,212.126.122.172,,,,,5,3,1,4,2,5,2,1,4,5,3,2,1,1,5,3,5,3,2,3,2,2,2,4,5
10842665249,240382712,7/7/2019 23:11,7/7/2019 23:19,171.204.161.153,,,,,2,3,5,2,1,4,1,2,5,4,1,4,2,2,3,5,4,5,5,5,5,3,1,1,5
10842650088,240382712,7/9/2019 13:01,7/9/2019 13:05,174.0.129.89,,,,,3,3,5,3,4,3,3,2,3,3,4,3,3,5,5,4,3,2,5,2,3,4,2,1,5
10842634927,240382712,7/9/2019 14:56,7/9/2019 14:59,217.237.168.18,,,,,1,1,2,3,2,4,4,5,2,5,3,2,4,5,4,1,4,1,5,5,4,3,3,1,5
10842619766,240382712,7/9/2019 15:20,7/9/2019 15:23,137.77.173.12,,,,,1,2,3,5,2,3,2,5,2,5,3,5,2,5,3,2,2,1,2,2,4,4,5,2,4
10842604605,240382712,7/9/2019 23:04,7/9/2019 23:22,191.204.161.150,,,,,5,3,2,5,2,3,2,1,4,1,2,5,2,4,5,3,2,2,5,3,5,2,4,3,2
10842589444,240382712,7/10/2019 15:05,7/10/2019 15:33,212.126.122.172,,,,,5,4,5,4,5,3,2,5,1,5,2,1,5,5,3,2,5,3,5,2,2,5,3,2,2
10842574283,240382712,7/11/2019 22:02,7/11/2019 22:09,71.204.161.154,,,,,4,4,4,4,2,1,4,2,5,2,1,1,1,4,3,3,5,2,4,3,3,4,4,3,5
10842559123,240382712,7/12/2019 16:44,7/12/2019 16:49,174.230.129.90,,,,,5,2,1,4,1,5,2,1,5,2,1,4,5,5,3,5,2,3,3,2,2,1,2,5,5
10842543962,240382712,7/13/2019 14:02,7/13/2019 14:29,37.237.168.18,,,,,2,3,5,2,5,4,1,2,5,1,5,2,5,2,3,4,4,5,1,5,5,4,2,4,2
10842528801,240382712,7/13/2019 19:54,7/13/2019 19:59,107.77.173.13,,,,,5,3,2,5,2,3,2,5,2,3,2,3,2,5,5,3,4,4,3,5,4,2,5,3,1
10842513640,240382712,7/13/2019 11:42,7/13/2019 23:49,99.204.161.155,,,,,3,2,3,5,2,2,3,2,5,2,3,5,5,4,4,4,4,3,5,2,1,5,5,2,2
10842498479,240382712,7/16/2019 2:42,7/16/2019 2:52,112.0.122.173,,,,,1,5,3,2,2,4,5,2,5,2,5,2,5,5,5,2,2,4,5,5,2,2,2,2,4
10842483318,240382712,7/16/2019 15:31,7/16/2019 15:36,12.204.161.155,,,,,1,2,3,2,5,2,3,5,2,1,3,2,5,5,5,2,5,2,4,2,3,5,1,2,5
10842468157,240382712,7/18/2019 10:53,7/18/2019 10:59,74.230.129.0,,,,,5,5,2,5,2,5,2,1,4,1,2,4,5,4,5,5,5,5,5,1,5,2,2,3,3
10842452997,240382712,7/19/2019 11:11,7/19/2019 11:16,37.237.168.119,,,,,5,5,2,5,2,5,2,5,2,5,5,5,5,5,5,5,5,2,4,4,2,5,4,2,2
10842437836,240382712,7/20/2019 9:52,7/20/2019 9:59,107.76.173.14,,,,,2,2,1,2,2,2,3,5,2,4,5,5,5,1,4,2,5,5,5,1,3,5,5,5,5
10842422675,240382712,7/21/2019 18:30,7/21/2019 18:44,44.204.161.158,,,,,5,3,2,5,3,2,3,3,3,3,1,2,1,5,5,1,4,2,3,2,2,6,3,1,2
10842407514,240382712,7/22/2019 22:03,7/22/2019 22:09,2.126.122.66,,,,,3,1,2,3,5,2,5,2,3,5,2,3,5,2,1,2,2,3,5,3,2,3,2,1,1
10842392353,240382712,7/22/2019 0:02,7/22/2019 0:09,7.20.161.111,,,,,1,2,3,5,2,5,2,5,4,5,2,5,4,2,5,5,2,3,4,2,4,3,3,3,3
10842377192,240382712,7/24/2019 6:50,7/24/2019 6:59,23.230.129.9,,,,,4,2,3,5,2,5,2,3,2,5,2,2,1,5,1,5,5,3,1,5,2,2,2,5,2
10842362031,240382712,7/25/2019 20:05,7/25/2019 20:09,3.237.168.201,,,,,5,5,5,2,5,2,5,2,5,2,4,2,5,5,5,2,2,5,2,4,4,4,1,2,5
